Population,Mean_1,Mean_2,Mean_3,Mean_4,Variance_1,Variance_2,Variance_3,Variance_4,Skewness_1,Skewness_2,Skewness_3,Skewness_4,AQI
1.55E+05,10.426,6.1429,8762,273.43,844.97,285.04,8.71E+08,7.43E+05,7.6414,8.5073,6.8007,6.3009,76
1.56E+05,10.42,6.1587,8714,273.22,845.1,289.06,8.63E+08,7.42E+05,7.6454,8.4772,6.779,6.2958,76
1.56E+05,10.416,6.1759,8666.1,273.01,845.44,293.22,8.56E+08,7.41E+05,7.6481,8.4469,6.7596,6.2928,76
1.56E+05,10.413,6.1947,8618.6,272.79,846.01,297.48,8.50E+08,7.40E+05,7.6493,8.4166,6.7425,6.292,77
1.57E+05,10.411,6.2151,8571.7,272.57,846.78,301.81,8.44E+08,7.39E+05,7.6491,8.3864,6.728,6.2933,78
1.57E+05,10.41,6.2316,8525.8,272.35,847.77,306.2,8.40E+08,7.39E+05,7.6475,8.3567,6.7162,6.2968,78
1.57E+05,10.41,6.2481,8481.1,272.14,848.96,310.61,8.37E+08,7.38E+05,7.6444,8.3278,6.7072,6.3024,79
1.58E+05,10.412,6.2645,8438,271.93,850.35,315.04,8.35E+08,7.38E+05,7.6401,8.2998,6.7011,6.31,79
1.58E+05,10.415,6.2805,8396.8,271.73,851.94,319.45,8.35E+08,7.39E+05,7.6344,8.2731,6.6978,6.3197,79
1.58E+05,10.419,6.2961,8357.7,271.54,853.72,323.82,8.35E+08,7.39E+05,7.6276,8.2479,6.6971,6.3313,79
1.59E+05,10.425,6.311,8321.2,271.36,855.68,328.13,8.37E+08,7.40E+05,7.6197,8.2245,6.699,6.3447,79
1.59E+05,10.431,6.325,8287.7,271.19,857.8,332.34,8.40E+08,7.41E+05,7.6108,8.2032,6.7031,6.3597,78
1.59E+05,10.439,6.3377,8257.5,271.04,860.07,336.42,8.45E+08,7.42E+05,7.6011,8.1842,6.7093,6.3763,78
1.60E+05,10.447,6.3489,8231.2,270.91,862.48,340.34,8.51E+08,7.44E+05,7.5907,8.1677,6.7173,6.3942,77
1.60E+05,10.457,6.3585,8209.2,270.79,865.01,344.06,8.58E+08,7.45E+05,7.5797,8.1539,6.7268,6.4132,76
1.60E+05,10.468,6.3661,8192.1,270.7,867.65,347.55,8.66E+08,7.47E+05,7.5682,8.143,6.7375,6.4333,75
1.61E+05,10.479,6.3715,8180.1,270.62,870.37,350.77,8.76E+08,7.49E+05,7.5564,8.1351,6.7491,6.4541,74
1.61E+05,10.491,6.3745,8173.7,270.57,873.16,353.68,8.87E+08,7.52E+05,7.5444,8.1304,6.7614,6.4756,73
1.61E+05,10.504,6.3749,8172.8,270.54,875.99,356.26,8.99E+08,7.54E+05,7.5322,8.1288,6.7741,6.4975,73
1.62E+05,10.518,6.3724,8177.5,270.54,878.85,358.47,9.12E+08,7.57E+05,7.5201,8.1305,6.787,6.5197,72
1.62E+05,10.532,6.3669,8187.5,270.56,881.72,360.3,9.26E+08,7.59E+05,7.508,8.1354,6.7997,6.5421,72
1.62E+05,10.546,6.3584,8202.4,270.61,884.56,361.71,9.40E+08,7.62E+05,7.496,8.1435,6.8121,6.5644,71
1.63E+05,10.561,6.3467,8221.8,270.68,887.35,362.7,9.55E+08,7.65E+05,7.4843,8.1549,6.8239,6.5867,71
1.63E+05,10.576,6.332,8245.2,270.78,890.08,363.26,9.70E+08,7.68E+05,7.473,8.1693,6.8348,6.6087,71
1.64E+05,10.591,6.3145,8272.2,270.9,892.72,363.38,9.85E+08,7.71E+05,7.462,8.1866,6.8447,6.6303,71
1.64E+05,10.606,6.2946,8302.2,271.04,895.25,363.05,1.00E+09,7.74E+05,7.4515,8.2067,6.8534,6.6515,71
1.65E+05,10.622,6.2725,8334.8,271.2,897.65,362.28,1.02E+09,7.77E+05,7.4415,8.2294,6.8606,6.672,71
1.65E+05,10.636,6.2488,8369.8,271.39,899.9,361.09,1.03E+09,7.80E+05,7.4321,8.2543,6.8663,6.6919,72
1.65E+05,10.651,6.2241,8407,271.59,901.98,359.47,1.05E+09,7.83E+05,7.4232,8.2813,6.8704,6.7108,72
1.66E+05,10.665,6.1988,8446,271.8,903.88,357.46,1.06E+09,7.85E+05,7.415,8.3101,6.8728,6.7287,72
1.66E+05,10.679,6.1734,8486.8,272.03,905.58,355.07,1.08E+09,7.88E+05,7.4074,8.3403,6.8735,6.7454,72
1.67E+05,10.692,6.1483,8529.3,272.28,907.06,352.32,1.09E+09,7.91E+05,7.4005,8.3717,6.8726,6.7607,72
1.67E+05,10.704,6.1238,8573.3,272.53,908.32,349.25,1.10E+09,7.93E+05,7.3942,8.4039,6.8701,6.7746,72
